;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2008;0.00%;0.00%;3.33%;2.58%;0.63%;0.00%;12.50%;13.89%;9.76%;-13.33%;2.56%;-10.00%;27.10%
2009;4.17%;12.00%;-0.00%;-4.71%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;14.15%
2010;0.00%;-6.80%;5.90%;0.53%;-15.44%;7.49%;-2.53%;-0.57%;0.60%;-17.14%;13.79%;-15.15%;-23.52%
2011;7.14%;9.67%;0.00%;0.30%;3.03%;-2.07%;-0.57%;-0.03%;-1.59%;0.00%;-0.00%;-0.06%;18.20%
2012;-3.16%;3.33%;0.00%;-3.23%;2.36%;0.00%;1.73%;-1.70%;0.00%;1.69%;0.00%;-1.67%;-0.31%
2013;0.00%;0.00%;0.00%;1.69%;1.04%;0.00%;0.00%;0.03%;0.30%;-0.33%;0.00%;0.00%;3.34%
2014;0.00%;0.00%;0.00%;-0.00%;3.87%;0.00%;1.75%;3.45%;3.37%;-3.26%;0.00%;0.00%;10.32%
2015;-2.93%;-0.07%;-0.34%;0.07%;2.93%;5.48%;0.00%;0.00%;0.35%;-0.03%;-2.03%;0.21%;4.62%
2016;3.31%;0.00%;20.69%;-15.23%;9.41%;-3.23%;6.67%;-0.00%;3.12%;3.03%;0.00%;-1.12%;29.36%
2017;1.13%;2.94%;0.00%;2.86%;-5.58%;1.61%;0.00%;0.00%;0.00%;0.00%;14.28%;3.00%;23.49%
2018;7.85%;2.70%;-0.19%;21.58%;-7.12%;7.66%;7.17%;-0.02%;0.02%;-8.91%;0.00%;0.00%;29.56%
2019;0.00%;4.88%;0.00%;7.52%;0.00%;0.49%;0.69%;1.56%;20.62%;-3.83%;-2.02%;0.00%;31.60%
2020;2.08%;9.96%;-7.27%;23.23%;0.00%;0.00%;0.00%;6.67%;12.44%;-16.62%;48.74%;-15.37%;66.05%
2021;26.91%;-16.91%;27.57%;-12.81%;9.62%;-7.06%;2.91%;0.84%;3.51%;15.05%;-5.42%;7.27%;53.14%
2022;5.63%;-0.80%;7.53%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;15.63%
