;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2010;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;6.49%;-4.79%;-0.57%;1.15%;3.69%
2011;-0.57%;2.29%;7.82%;4.15%;3.04%;0.99%;-3.16%;-1.69%;-2.74%;17.51%;8.50%;-4.24%;33.84%
2012;-1.92%;-1.57%;3.66%;1.02%;8.08%;-1.87%;-7.62%;8.25%;-7.62%;-0.52%;-0.52%;3.12%;3.41%
2013;5.96%;7.72%;-3.63%;1.84%;-1.51%;12.23%;9.79%;0.00%;-3.95%;16.95%;2.14%;4.73%;53.68%
2014;0.32%;-0.32%;-2.58%;5.79%;2.92%;-0.93%;-0.31%;9.06%;-5.44%;3.03%;-0.59%;-2.96%;11.27%
2015;-11.59%;0.00%;0.00%;13.50%;6.52%;12.54%;0.00%;-4.66%;-7.61%;-8.76%;16.05%;-0.17%;17.82%
2016;-10.41%;0.62%;11.11%;5.88%;11.11%;-0.50%;2.96%;-2.39%;-10.00%;17.67%;1.04%;15.65%;44.87%
2017;-0.04%;-2.99%;8.33%;1.35%;0.00%;0.00%;-0.12%;4.12%;-8.08%;0.42%;8.33%;-3.85%;13.10%
2018;48.00%;-0.03%;-18.87%;13.79%;-8.00%;7.02%;-6.56%;0.03%;0.30%;6.67%;-3.13%;3.23%;36.27%
2019;2.81%;0.00%;4.89%;-1.19%;3.01%;15.50%;28.95%;0.00%;0.00%;0.00%;3.74%;0.02%;56.97%
2020;5.19%;0.02%;-1.01%;-0.40%;0.00%;-7.05%;-4.33%;-0.48%;-0.09%;2.83%;-0.02%;13.26%;10.00%
2021;-10.40%;-0.05%;0.00%;17.09%;-6.10%;-0.87%;-0.22%;-0.00%;-0.90%;-0.30%;0.19%;-0.96%;-3.30%
2022;-1.57%;-0.00%;-2.95%;1.43%;2.87%;-2.71%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-2.81%
