;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2005;0.00%;0.00%;-29.19%;-7.89%;2.86%;-5.56%;-13.73%;-10.23%;-3.80%;-10.53%;26.47%;-4.65%;-59.36%
2006;-8.54%;-5.33%;1.41%;1.39%;-6.85%;-1.47%;8.96%;-6.85%;-0.00%;-1.47%;-2.99%;23.08%;4.67%
2007;5.00%;-5.95%;1.27%;8.75%;6.90%;2.15%;120.00%;-19.62%;28.57%;15.74%;3.20%;-9.30%;154.74%
2008;-10.26%;-0.95%;-4.33%;80.90%;18.33%;-5.16%;-31.44%;-16.97%;-5.65%;-6.45%;4.93%;17.37%;25.20%
2009;14.00%;2.81%;5.80%;-6.45%;-2.76%;0.00%;-23.49%;-11.02%;-7.96%;-6.73%;3.09%;1.00%;-31.50%
2010;20.79%;-3.28%;-6.78%;-8.18%;-12.87%;0.00%;-6.82%;1.22%;-3.61%;1.25%;-11.11%;-8.33%;-34.09%
2011;-4.55%;-22.22%;-6.12%;8.70%;-4.00%;-6.25%;-3.27%;0.00%;0.00%;0.00%;0.00%;0.00%;-33.58%
2012;0.00%;-38.10%;19.23%;-9.68%;-10.71%;-4.00%;0.00%;-8.33%;-9.09%;-15.00%;-0.00%;-11.76%;-74.89%
2013;0.00%;0.00%;20.00%;-11.11%;-6.25%;-13.33%;23.08%;6.25%;52.94%;-11.54%;-4.35%;0.00%;87.48%
2014;-13.64%;-15.79%;6.25%;11.76%;26.32%;-16.67%;45.00%;-6.90%;-14.81%;-15.43%;-1.80%;-15.45%;7.84%
2015;-15.17%;52.92%;-4.53%;-0.75%;-5.54%;6.67%;-0.00%;-20.50%;-18.55%;15.83%;6.67%;14.38%;34.66%
2016;-0.55%;9.62%;-13.37%;-6.97%;4.89%;4.35%;17.86%;6.06%;1.90%;-7.94%;1.02%;-2.76%;25.21%
2017;1.29%;-5.61%;-2.70%;10.56%;-1.26%;-11.45%;-10.92%;-1.94%;-11.18%;-18.15%;-21.27%;-14.85%;-75.55%
2018;2.78%;-14.19%;1.57%;0.78%;-6.15%;-0.82%;-0.83%;-10.00%;-1.85%;-5.66%;-23.00%;11.69%;-14.26%
2019;-1.16%;11.76%;-6.32%;-4.49%;-8.24%;10.26%;16.28%;-10.00%;40.74%;1.32%;-3.25%;8.05%;61.89%
2020;6.34%;-21.61%;7.30%;-39.72%;23.04%;-4.68%;-6.68%;-4.84%;-1.11%;-0.22%;29.60%;7.79%;48.70%
2021;-18.46%;-1.57%;2.60%;50.10%;-2.60%;26.00%;-15.24%;-25.09%;-6.00%;-1.60%;-0.00%;-8.11%;-4.32%
2022;0.00%;-5.88%;-2.92%;-16.31%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-25.17%
