;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2020;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-18.05%;19.05%;-3.88%;-4.49%
2021;-17.30%;-6.13%;-9.72%;11.43%;4.00%;-0.96%;-12.14%;-13.08%;-7.42%;-19.45%;18.80%;6.20%;-43.65%
