;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2010;0.00%;0.00%;0.00%;2.15%;0.50%;14.23%;7.84%;9.38%;4.41%;22.13%;20.56%;-15.90%;62.48%
2011;1.41%;-9.86%;-5.20%;20.58%;-1.95%;6.74%;-2.22%;-9.05%;-2.60%;-8.65%;-9.25%;10.76%;-5.36%
2012;22.49%;3.32%;4.02%;6.43%;-0.16%;12.28%;0.11%;8.58%;-2.33%;6.28%;1.00%;8.11%;70.18%
2013;-1.00%;-4.00%;1.37%;0.77%;8.19%;-14.46%;-5.66%;3.86%;2.57%;2.44%;0.96%;5.60%;2.30%
2014;-15.18%;-8.18%;8.95%;0.63%;-8.03%;0.87%;-8.83%;-2.71%;-22.17%;-9.78%;-36.04%;-7.55%;-114.41%
2015;-39.37%;17.44%;16.62%;-6.94%;18.16%;-22.82%;-8.17%;-20.71%;-8.16%;-0.44%;-24.11%;-21.76%;-103.21%
2016;-6.39%;-6.02%;42.74%;26.05%;11.64%;-8.72%;32.87%;-13.33%;-7.29%;8.95%;-26.85%;7.12%;58.22%
2017;1.53%;6.80%;-11.79%;-6.68%;4.58%;-0.00%;9.04%;2.26%;14.00%;-7.76%;3.27%;-6.79%;19.86%
2018;8.01%;-19.78%;-9.24%;7.41%;-25.29%;-25.00%;11.28%;0.00%;-15.21%;70.65%;5.41%;29.31%;19.76%
2019;29.91%;-2.34%;-11.60%;-1.87%;6.37%;19.76%;15.83%;6.91%;-7.81%;6.28%;-3.71%;49.07%;100.53%
2020;-12.06%;-6.75%;-54.96%;21.76%;15.74%;-0.74%;41.85%;-10.70%;-17.54%;-9.93%;26.57%;-4.35%;-23.85%
2021;-6.50%;-5.74%;22.32%;21.72%;-3.80%;13.31%;-8.89%;-4.88%;-17.58%;-18.74%;10.72%;16.39%;20.92%
2022;0.47%;-2.18%;21.34%;5.25%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;27.52%
