;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2014;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;5.61%;7.88%;-2.60%;11.13%
2015;-5.27%;2.93%;-3.92%;0.43%;1.85%;9.78%;0.00%;6.22%;-1.44%;2.99%;-3.19%;5.07%;19.24%
2016;2.89%;7.78%;12.89%;5.02%;-1.72%;-5.16%;-5.09%;-6.17%;4.68%;-6.11%;-23.69%;-1.75%;-17.95%
2017;-2.61%;-4.84%;-3.66%;-0.00%;-0.00%;25.80%;-14.15%;-0.19%;-3.53%;1.15%;-1.14%;-7.28%;-11.22%
2018;-9.21%;8.77%;13.92%;-11.55%;-16.14%;-0.05%;13.61%;0.84%;-4.15%;19.18%;7.42%;20.47%;45.49%
2019;-1.81%;-2.15%;-3.49%;-2.55%;-0.59%;19.60%;11.64%;-0.47%;-4.00%;1.56%;0.51%;9.74%;27.75%
2020;-2.35%;-11.88%;-39.32%;20.27%;-11.11%;16.67%;10.82%;-9.83%;0.07%;-1.85%;25.35%;11.85%;5.60%
2021;-13.84%;-1.04%;-1.23%;2.57%;13.35%;-8.13%;-5.94%;-12.13%;4.41%;-14.79%;0.04%;3.19%;-31.93%
2022;-0.82%;-7.67%;10.71%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;2.76%
