;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2007;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-7.12%;4.31%;1.18%;0.67%
2008;-25.07%;3.11%;-10.75%;5.29%;7.63%;-25.75%;-0.55%;-37.14%;-31.67%;-31.88%;-11.05%;16.89%;-128.72%
2009;11.13%;-11.06%;18.15%;26.17%;29.88%;3.51%;2.38%;-3.52%;12.39%;-12.71%;4.16%;3.81%;84.75%
2010;3.92%;-6.99%;1.69%;-4.49%;7.16%;-4.37%;11.64%;-0.23%;10.55%;0.71%;-7.59%;0.61%;16.87%
2011;-11.27%;-2.92%;4.86%;-0.17%;-67.56%;-7.86%;-12.49%;7.70%;-5.79%;19.11%;-2.32%;-0.81%;-80.06%
2012;12.14%;4.55%;0.96%;-4.63%;-7.63%;7.33%;12.20%;-4.02%;14.59%;6.12%;0.42%;9.03%;53.03%
2013;-0.43%;-3.80%;1.72%;6.56%;4.79%;-12.06%;-0.16%;-0.80%;5.54%;1.94%;-3.63%;-6.19%;-3.28%
2014;-13.29%;5.01%;11.72%;1.33%;-0.86%;9.92%;4.49%;14.53%;-17.11%;-2.59%;-0.14%;-6.55%;9.16%
2015;-6.50%;9.57%;10.32%;14.72%;-7.18%;4.20%;-10.37%;7.46%;2.78%;2.89%;4.17%;2.23%;37.03%
2016;-5.79%;13.26%;32.10%;11.92%;-5.68%;13.07%;6.06%;-4.25%;-6.14%;11.84%;-10.31%;3.44%;57.59%
2017;12.06%;2.87%;1.42%;-1.45%;-2.01%;7.22%;3.75%;8.55%;8.27%;-0.21%;-1.76%;1.60%;41.76%
2018;14.49%;-1.76%;4.18%;-4.11%;-13.95%;-2.87%;16.33%;-8.53%;10.05%;13.42%;6.25%;-2.67%;31.05%
2019;17.38%;4.19%;-0.31%;7.25%;6.15%;4.01%;13.51%;6.19%;-0.47%;10.89%;-1.36%;-9.95%;59.04%
2020;15.01%;-0.41%;-23.32%;7.02%;18.56%;20.94%;16.09%;-7.31%;-5.16%;-7.20%;9.95%;10.42%;59.80%
2021;-2.64%;-9.20%;1.91%;-5.71%;2.17%;-2.88%;-9.33%;-7.74%;-8.07%;-6.51%;-6.72%;8.55%;-42.32%
