;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2008;0.00%;0.00%;0.00%;0.00%;4.65%;-16.89%;-9.09%;6.62%;-28.28%;-33.08%;49.43%;3.85%;-18.14%
2009;1.85%;58.18%;-17.70%;19.55%;10.86%;-36.78%;13.33%;3.97%;0.71%;0.42%;-1.40%;-0.71%;47.43%
2010;-2.86%;2.79%;-7.38%;-3.17%;-9.46%;10.00%;-5.89%;5.25%;-0.22%;8.14%;-0.05%;-3.17%;-1.42%
2011;-2.95%;-0.34%;4.24%;6.99%;-2.65%;-2.34%;-9.76%;6.38%;-5.67%;4.77%;-5.56%;8.93%;23.33%
2012;12.95%;-2.03%;2.22%;-6.81%;-8.40%;1.02%;12.61%;-17.91%;-9.01%;0.10%;-5.91%;4.37%;-10.62%
2013;14.40%;-12.50%;0.00%;-1.95%;-6.16%;0.11%;-2.12%;2.38%;0.11%;6.78%;-1.99%;-4.16%;-0.27%
2014;-2.12%;-2.19%;-6.89%;5.10%;-7.06%;0.10%;2.71%;22.62%;-4.01%;0.08%;-8.44%;-4.57%;-0.03%
2015;-0.08%;-4.91%;-1.02%;8.49%;4.43%;-9.41%;3.45%;1.69%;-10.59%;9.36%;-3.04%;-3.71%;-1.14%
2016;-0.42%;6.70%;7.98%;18.24%;13.97%;-5.25%;7.34%;11.79%;-5.88%;-0.57%;-2.84%;4.10%;64.18%
2017;37.61%;15.34%;-4.18%;-3.38%;-6.10%;-6.55%;2.79%;13.43%;2.76%;-5.46%;-2.28%;6.84%;58.56%
2018;3.55%;3.13%;4.03%;-1.34%;-10.22%;-2.61%;1.03%;4.00%;5.12%;5.50%;1.24%;4.42%;26.87%
2019;9.52%;5.45%;4.57%;-3.57%;10.43%;8.93%;3.43%;-4.58%;8.24%;-2.15%;-0.50%;16.13%;59.16%
2020;15.12%;-10.05%;-28.33%;2.24%;7.71%;16.85%;-6.56%;-1.36%;-5.79%;3.34%;2.70%;6.15%;2.93%
2021;0.66%;-1.84%;1.34%;-4.37%;4.19%;3.07%;-0.85%;0.32%;-0.02%;-3.07%;0.33%;-4.05%;-2.59%
