Date;Open;High;Low;Close;Adj Close;Volume;ret;tret
2010-11-01;296.7313537597656;329.2760925292969;296.7313537597656;329.2760925292969;274.08367919921875;588175;;
2010-11-03;329.2760925292969;333.1048889160156;325.4472961425781;325.4472961425781;270.8966369628906;151483;-1.16;-1.16
2010-11-04;323.9176940917969;329.274169921875;308.42449951171875;324.4901123046875;270.0999450683594;92979;-0.29;-1.45
2010-11-05;321.6184997558594;323.53289794921875;308.2177429199219;308.2177429199219;256.5550842285156;55892;-5.01;-6.46
2010-11-08;306.4967041015625;307.8348693847656;306.3033447265625;306.3033447265625;254.96160888671875;74697;-0.62;-7.08
2010-11-09;306.3033447265625;320.08697509765625;306.3033447265625;306.5904846191406;255.20059204101562;12536;0.09;-6.99
2010-11-10;315.77960205078125;331.9830322265625;313.67376708984375;315.87530517578125;262.9290771484375;12014;3.03;-3.9600000000000004
2010-11-11;310.13214111328125;312.0465393066406;310.13214111328125;310.13214111328125;258.1485900878906;3134;-1.82;-5.78
2010-11-12;310.13214111328125;310.13214111328125;310.13214111328125;310.13214111328125;258.1485900878906;2611;0.0;-5.78
2010-11-16;315.87530517578125;320.66131591796875;313.00372314453125;320.66131591796875;266.9128723144531;36565;3.4;-2.3800000000000003
2010-11-17;328.3188781738281;335.019287109375;315.8734130859375;335.019287109375;278.8642272949219;37087;4.48;2.1
2010-11-18;344.1126708984375;344.1126708984375;310.13214111328125;320.6593933105469;266.9112854003906;32908;-4.29;-2.19
2010-11-19;311.09124755859375;319.5126647949219;310.3235778808594;315.87530517578125;262.9290771484375;33430;-1.49;-3.6799999999999997
2010-11-22;310.13214111328125;313.00372314453125;310.13214111328125;313.00372314453125;260.538818359375;1567;-0.91;-4.59
2010-11-23;306.3033447265625;312.0484313964844;306.3033447265625;310.13214111328125;258.1485900878906;8357;-0.92;-5.51
2010-11-24;310.13214111328125;315.8772277832031;307.03082275390625;315.8772277832031;262.9306640625;11491;1.85;-3.6599999999999997
2010-11-25;315.87530517578125;315.8772277832031;309.7492370605469;312.8122863769531;260.3795166015625;3656;-0.97;-4.63
2010-11-26;319.70220947265625;319.70220947265625;313.00372314453125;313.00372314453125;260.538818359375;2089;0.06;-4.57
2010-11-29;313.00372314453125;313.00372314453125;307.2605285644531;308.2177429199219;256.5550842285156;6268;-1.53;-6.1000000000000005
2010-11-30;306.3033447265625;313.00372314453125;306.3033447265625;313.00372314453125;260.538818359375;50668;1.55;-4.550000000000001
2010-12-01;313.00372314453125;319.6064758300781;312.0465393066406;319.6064758300781;266.034912109375;10969;2.11;-2.440000000000001
2010-12-02;321.6184997558594;326.4045104980469;311.77850341796875;320.25738525390625;266.57666015625;13581;0.2;-2.2400000000000007
2010-12-03;313.00372314453125;313.00372314453125;306.3033447265625;313.00372314453125;260.538818359375;20371;-2.26;-4.5
2010-12-06;313.00372314453125;317.4068298339844;311.0893249511719;311.0893249511719;258.9453125;38654;-0.61;-5.11
2010-12-07;313.9609375;324.8710632324219;310.13214111328125;319.7041015625;266.1161193847656;9402;2.77;-2.3400000000000003
2010-12-08;316.8305969238281;316.83251953125;316.8305969238281;316.8305969238281;263.72430419921875;1567;-0.9;-3.24
2010-12-09;319.7041015625;321.6184997558594;316.83251953125;316.83251953125;263.7258605957031;66339;0.0;-3.24
2010-12-10;317.7897033691406;320.6593933105469;317.7897033691406;320.6593933105469;266.9112854003906;2089;1.21;-2.0300000000000002
2010-12-13;320.6498107910156;320.6498107910156;312.0484313964844;312.0484313964844;259.7437438964844;2611;-2.69;-4.720000000000001
2010-12-14;314.9200439453125;330.6161804199219;314.9200439453125;330.6161804199219;275.19915771484375;25595;5.95;1.2299999999999995
2010-12-15;334.2535095214844;352.8231506347656;334.2535095214844;352.24884033203125;293.2057800292969;31863;6.54;7.77
2010-12-16;352.24884033203125;360.8636169433594;346.5056457519531;360.8636169433594;300.3765869140625;33430;2.45;10.219999999999999
2010-12-17;363.7333068847656;383.83636474609375;363.7333068847656;382.8791809082031;318.70196533203125;69473;6.1;16.32
2010-12-20;382.8791809082031;383.83636474609375;382.8791809082031;382.8791809082031;318.70196533203125;19849;0.0;16.32
2010-12-21;382.8791809082031;382.8791809082031;369.4783935546875;377.12451171875;313.9118957519531;6790;-1.5;14.82
2010-12-22;364.6924133300781;364.6924133300781;359.90643310546875;363.3408508300781;302.4386291503906;10969;-3.65;11.17
2010-12-23;362.77801513671875;363.7333068847656;355.13958740234375;355.13958740234375;295.6120300292969;2611;-2.26;8.91
2010-12-27;357.0348205566406;357.984375;357.0348205566406;357.89630126953125;297.9066467285156;3134;0.78;9.69
2010-12-28;358.94921875;358.94921875;358.94921875;358.94921875;298.7831115722656;522;0.29;9.979999999999999
2010-12-29;363.7352294921875;363.7352294921875;354.1632385253906;363.7352294921875;302.7668762207031;3656;1.33;11.309999999999999
2010-12-30;363.7352294921875;379.0503845214844;363.7352294921875;379.0503845214844;315.51495361328125;8880;4.21;15.52
2011-01-03;373.30718994140625;373.30718994140625;365.64959716796875;365.64959716796875;304.3603515625;10447;-3.54;11.98
2011-01-04;365.64959716796875;365.64959716796875;361.8227233886719;361.8227233886719;301.1749267578125;6790;-1.05;10.93
2011-01-05;361.8208312988281;361.8208312988281;356.07763671875;356.07763671875;296.392822265625;14626;-1.59;9.34
2011-01-06;354.1632385253906;357.9920349121094;354.1632385253906;357.9920349121094;297.9863586425781;9924;0.54;9.879999999999999
2011-01-07;357.9920349121094;363.7352294921875;357.9920349121094;362.77801513671875;301.9700927734375;36565;1.34;11.219999999999999
2011-01-10;363.7333068847656;365.6515197753906;363.7333068847656;365.6515197753906;304.3619689941406;28729;0.79;12.009999999999998
2011-01-11;367.5639953613281;378.0931701660156;367.5639953613281;378.0931701660156;314.7181701660156;17237;3.4;15.409999999999998
2011-01-12;380.96478271484375;384.7935791015625;380.9628601074219;384.7935791015625;320.2954406738281;16715;1.77;17.18
2011-01-13;388.62237548828125;388.62237548828125;378.2865295410156;385.7507629394531;321.09222412109375;2611;0.25;17.43
2011-01-14;385.7507629394531;392.4511413574219;385.7507629394531;386.8994140625;322.04833984375;7313;0.3;17.73
2011-01-17;382.8791809082031;382.8791809082031;382.8791809082031;382.8791809082031;318.70196533203125;1044;-1.04;16.69
2011-01-18;382.8791809082031;382.8791809082031;371.9671325683594;379.0484619140625;315.5133361816406;35520;-1.0;15.690000000000001
2011-01-19;379.0484619140625;379.0484619140625;358.94921875;358.94921875;298.7831115722656;10447;-5.3;10.39
2011-01-20;358.94921875;363.7352294921875;343.6340637207031;350.3344421386719;291.6122741699219;8357;-2.4;7.99
2011-01-21;350.3344421386719;350.3344421386719;345.5484619140625;345.5484619140625;287.6285400390625;1567;-1.37;6.62
2011-01-24;345.5484619140625;345.5484619140625;345.5484619140625;345.5484619140625;287.6285400390625;1567;0.0;6.62
2011-01-26;346.507568359375;346.507568359375;342.6768493652344;342.6768493652344;285.23822021484375;10969;-0.83;5.79
2011-01-27;344.59124755859375;351.48309326171875;343.05975341796875;343.05975341796875;285.5569763183594;5745;0.11;5.9
2011-01-28;343.05975341796875;343.05975341796875;343.05975341796875;343.05975341796875;285.5569763183594;1567;0.0;5.9
2011-01-31;343.4407043457031;360.67218017578125;343.43878173828125;360.67218017578125;300.21722412109375;9402;5.13;11.030000000000001
2011-02-01;361.82464599609375;363.5035705566406;359.9045104980469;359.90643310546875;299.5798645019531;3656;-0.21;10.82
2011-02-02;350.3344421386719;357.9920349121094;350.3344421386719;350.52587890625;291.7716369628906;11491;-2.61;8.21
2011-02-03;354.1632385253906;361.2464904785156;354.1632385253906;356.07763671875;296.392822265625;4701;1.58;9.790000000000001
2011-02-04;353.2998352050781;373.30718994140625;353.2998352050781;373.30718994140625;310.7344055175781;2089;4.84;14.63
2011-02-07;373.3052673339844;373.3052673339844;373.3052673339844;373.3052673339844;310.7328186035156;1567;-0.0;14.63
2011-02-08;363.7352294921875;363.7352294921875;363.7352294921875;363.7352294921875;302.7668762207031;2089;-2.56;12.07
2011-02-09;363.7352294921875;363.7352294921875;363.7352294921875;363.7352294921875;302.7668762207031;0;0.0;12.07
2011-02-10;359.9045104980469;359.9045104980469;359.9045104980469;359.9045104980469;299.5782165527344;1044;-1.05;11.02
2011-02-11;359.90643310546875;367.5639953613281;354.1632385253906;367.5639953613281;305.9538269042969;4178;2.13;13.149999999999999
2011-02-14;361.8208312988281;363.7352294921875;358.94921875;358.94921875;298.7831115722656;3656;-2.34;10.809999999999999
2011-02-15;358.94921875;358.94921875;358.94921875;358.94921875;298.7831115722656;7313;0.0;10.809999999999999
2011-02-16;358.94921875;358.94921875;353.2098693847656;358.94921875;298.7831115722656;5223;0.0;10.809999999999999
2011-02-17;354.1632385253906;354.1632385253906;352.24884033203125;352.24884033203125;293.2057800292969;2089;-1.87;8.939999999999998
2011-02-18;357.9920349121094;357.9920349121094;351.2916564941406;357.4176940917969;297.50823974609375;10447;1.47;10.409999999999998
2011-02-21;357.9920349121094;357.9920349121094;357.9920349121094;357.9920349121094;297.9863586425781;2611;0.16;10.569999999999999
2011-02-22;357.9920349121094;357.9920349121094;357.9920349121094;357.9920349121094;297.9863586425781;1044;0.0;10.569999999999999
2011-02-23;335.5935974121094;335.5935974121094;335.5935974121094;335.5935974121094;279.34228515625;40221;-6.26;4.309999999999999
2011-02-24;335.5935974121094;335.5935974121094;335.5935974121094;335.5935974121094;279.34228515625;0;0.0;4.309999999999999
2011-02-25;354.1632385253906;354.1632385253906;339.61383056640625;354.16131591796875;294.7977294921875;4701;5.53;9.84
2011-02-28;354.1632385253906;363.7352294921875;354.1632385253906;363.7352294921875;302.7668762207031;5223;2.7;12.54
2011-03-01;363.7352294921875;363.7352294921875;359.90643310546875;361.8208312988281;301.17340087890625;2611;-0.53;12.01
2011-03-02;361.81890869140625;361.81890869140625;354.1632385253906;354.1632385253906;294.7993469238281;2089;-2.12;9.89
2011-03-03;354.1632385253906;354.1632385253906;354.1632385253906;354.1632385253906;294.7993469238281;1567;0.0;9.89
2011-03-04;354.1632385253906;354.1632385253906;354.1632385253906;354.1632385253906;294.7993469238281;522;0.0;9.89
2011-03-09;354.1632385253906;354.1632385253906;354.1632385253906;354.1632385253906;294.7993469238281;0;0.0;9.89
2011-03-10;354.16131591796875;363.7352294921875;344.59124755859375;344.59124755859375;286.83172607421875;15148;-2.7;7.19
2011-03-11;344.59124755859375;354.14410400390625;339.8052673339844;354.14410400390625;294.78338623046875;9924;2.77;9.96
2011-03-14;356.07763671875;363.7333068847656;354.1632385253906;363.7333068847656;302.7652893066406;2611;2.71;12.670000000000002
2011-03-15;344.6046447753906;358.94921875;344.59124755859375;358.94921875;298.7831115722656;4701;-1.32;11.350000000000001
2011-03-16;354.1632385253906;354.1632385253906;354.1632385253906;354.1632385253906;294.7993469238281;2089;-1.33;10.020000000000001
2011-03-17;354.1632385253906;354.1651611328125;354.1632385253906;354.1632385253906;294.7993469238281;13058;0.0;10.020000000000001
2011-03-18;359.90643310546875;363.7352294921875;359.90643310546875;363.7352294921875;302.7668762207031;3134;2.7;12.720000000000002
2011-03-21;363.7352294921875;367.37066650390625;363.7333068847656;363.7333068847656;302.7652893066406;14103;-0.0;12.720000000000002
2011-03-22;363.7352294921875;367.37066650390625;363.7333068847656;363.7333068847656;302.7652893066406;14103;0.0;12.720000000000002
2011-03-23;363.7333068847656;363.7352294921875;353.9718017578125;354.1632385253906;294.7993469238281;6790;-2.63;10.090000000000003
2011-03-24;354.1632385253906;354.1632385253906;354.1632385253906;354.1632385253906;294.7993469238281;0;0.0;10.090000000000003
2011-03-25;354.1632385253906;354.1632385253906;354.1632385253906;354.1632385253906;294.7993469238281;0;0.0;10.090000000000003
2011-03-28;330.2332763671875;330.2332763671875;330.2332763671875;330.2332763671875;274.88043212890625;1044;-6.76;3.3300000000000036
2011-03-29;333.4877624511719;339.8052673339844;333.4877624511719;339.8052673339844;282.84796142578125;7313;2.9;6.230000000000004
2011-03-30;333.4877624511719;339.8052673339844;333.4877624511719;339.8052673339844;282.84796142578125;7313;0.0;6.230000000000004
2011-03-31;344.59124755859375;350.3344421386719;344.59124755859375;344.59124755859375;286.83172607421875;12014;1.41;7.640000000000004
2011-04-01;344.59124755859375;344.59124755859375;344.59124755859375;344.59124755859375;286.83172607421875;0;0.0;7.640000000000004
2011-04-04;344.59124755859375;348.4200439453125;341.1472473144531;348.4200439453125;290.0187683105469;48056;1.11;8.750000000000004
2011-04-05;348.4200439453125;348.4200439453125;348.4200439453125;348.4200439453125;290.0187683105469;0;0.0;8.750000000000004
2011-04-06;350.33636474609375;353.7803649902344;350.3344421386719;350.3344421386719;291.6122741699219;3134;0.55;9.300000000000004
2011-04-07;347.84765625;347.84765625;344.59124755859375;344.59124755859375;286.83172607421875;26117;-1.64;7.660000000000005
