;Date;Open;High;Low;Close;Adj Close;Volume;Retornos
0;2010-01-04;68587.0;70081.0;68587.0;70045.0;70045.0;1655400;
1;2010-01-05;70046.0;70595.0;69928.0;70240.0;70240.0;1984200;0.28
2;2010-01-06;70237.0;70937.0;70016.0;70729.0;70729.0;2243600;0.7
3;2010-01-07;70723.0;70723.0;70045.0;70451.0;70451.0;1555000;-0.39
4;2010-01-08;70455.0;70766.0;70158.0;70263.0;70263.0;1634400;-0.27
5;2010-01-11;70267.0;71068.0;70158.0;70433.0;70433.0;1569000;0.24
6;2010-01-12;70429.0;70429.0;69284.0;70076.0;70076.0;1628600;-0.51
7;2010-01-13;70081.0;70626.0;69535.0;70385.0;70385.0;1818800;0.44
8;2010-01-14;70377.0;70508.0;69661.0;69801.0;69801.0;1830200;-0.83
9;2010-01-15;69780.0;69788.0;68695.0;68978.0;68978.0;1648400;-1.18
10;2010-01-18;68983.0;69748.0;68983.0;69401.0;69401.0;1139000;0.61
11;2010-01-19;69396.0;70036.0;68867.0;69909.0;69909.0;1323400;0.73
12;2010-01-20;69901.0;69901.0;67546.0;68200.0;68200.0;1990600;-2.44
13;2010-01-21;68200.0;68458.0;65996.0;66270.0;66270.0;2263800;-2.83
14;2010-01-22;66264.0;66660.0;65445.0;66220.0;66220.0;1305000;-0.08
15;2010-01-26;66213.0;66213.0;64719.0;65524.0;65524.0;1990400;-1.05
16;2010-01-27;65527.0;65663.0;64553.0;65070.0;65070.0;1813600;-0.69
17;2010-01-28;65071.0;66049.0;64541.0;65588.0;65588.0;1649400;0.8
18;2010-01-29;65591.0;66576.0;65140.0;65402.0;65402.0;1823200;-0.28
19;2010-02-01;65402.0;66763.0;65362.0;66572.0;66572.0;1494400;1.79
20;2010-02-02;66589.0;67321.0;66539.0;67163.0;67163.0;1587800;0.89
21;2010-02-03;67163.0;67347.0;66774.0;67109.0;67109.0;1765000;-0.08
22;2010-02-04;67100.0;67100.0;63750.0;63934.0;63934.0;2262400;-4.73
23;2010-02-05;63934.0;64001.0;61341.0;62763.0;62763.0;3053000;-1.83
24;2010-02-08;62760.0;63923.0;62728.0;63153.0;63153.0;1875600;0.62
25;2010-02-09;63164.0;65526.0;63164.0;64718.0;64718.0;1357400;2.48
26;2010-02-10;64721.0;65170.0;64320.0;65051.0;65051.0;891000;0.51
27;2010-02-11;65050.0;66145.0;64344.0;66129.0;66129.0;1259000;1.66
28;2010-02-12;66129.0;66133.0;65123.0;65855.0;65855.0;873200;-0.41
29;2010-02-17;65863.0;67542.0;65863.0;67285.0;67285.0;0;2.17
