;Data Referência;Demonstração Financeira;Release de Resultados;Acao;Data Divulgação
0;31/12/2021;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=112991&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
1;30/09/2021;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=110138&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
2;30/06/2021;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=107782&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
3;31/03/2021;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=104221&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
4;31/12/2020;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=102359&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
5;30/09/2020;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=98637&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
6;30/06/2020;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=96611&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
7;31/03/2020;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=94370&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
8;31/12/2019;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=91990&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
9;30/09/2019;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=89572&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
10;30/06/2019;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=86391&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
11;31/03/2019;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=83591&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
12;31/12/2018;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=81588&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
13;30/09/2018;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=79284&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
14;30/06/2018;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=77145&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
15;31/03/2018;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=77141&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
16;31/12/2017;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=75990&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
17;30/09/2017;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=70063&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
18;30/06/2017;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=68020&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
19;31/03/2017;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=65376&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
20;31/12/2016;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=63813&CodigoTipoInstituicao=1;;TEKA4;2022-03-25 20:14:12.307868
