;Data Referência;Demonstração Financeira;Release de Resultados;Acao;Data Divulgação
12;31/12/2018;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=81724&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
13;30/09/2018;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=79125&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
14;30/06/2018;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=77246&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
15;31/03/2018;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=74809&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
16;31/12/2017;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=72679&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
17;30/09/2017;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=69835&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
18;30/06/2017;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=68081&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
19;31/03/2017;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=65717&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
20;31/12/2016;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=63831&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
21;30/09/2016;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=60652&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
22;30/06/2016;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=58861&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
23;31/03/2016;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=56470&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
24;31/12/2015;https://www.rad.cvm.gov.br/ENET/frmGerenciaPaginaFRE.aspx?NumeroSequencialDocumento=54654&CodigoTipoInstituicao=1;;GPIV33;2022-04-01 21:55:35.866436
