;Data;Valor;Tipo;Data de Pagamento;Por quantas ações
0;24/09/2021;0,0207;JRS CAP PROPRIO;16/03/2022 ;1
1;30/07/2021;0,1582;DIVIDENDO;11/08/2021 ;1
2;25/06/2021;0,0205;JRS CAP PROPRIO;11/08/2021 ;1
3;26/03/2021;0,0338;JRS CAP PROPRIO;11/08/2021 ;1
4;26/02/2021;0,3494;DIVIDENDO;10/03/2021 ;1
5;18/12/2020;0,0369;JRS CAP PROPRIO;10/03/2021 ;1
6;25/09/2020;0,0345;JRS CAP PROPRIO;10/03/2021 ;1
7;24/07/2020;0,1268;DIVIDENDO;12/08/2020 ;1
8;26/06/2020;0,0382;JRS CAP PROPRIO;12/08/2020 ;1
9;20/03/2020;0,0302;JRS CAP PROPRIO;12/08/2020 ;1
10;21/02/2020;0,1678;DIVIDENDO;11/03/2020 ;1
11;20/12/2019;0,0382;JRS CAP PROPRIO;11/03/2020 ;1
12;20/09/2019;0,0409;JRS CAP PROPRIO;11/03/2020 ;1
13;26/07/2019;0,0891;DIVIDENDO;14/08/2019 ;1
14;28/06/2019;0,0429;JRS CAP PROPRIO;14/08/2019 ;1
15;22/03/2019;0,0464;JRS CAP PROPRIO;14/08/2019 ;1
16;22/02/2019;0,0829;DIVIDENDO;13/03/2019 ;1
17;21/12/2018;0,0514;JRS CAP PROPRIO;13/03/2019 ;1
18;21/09/2018;0,0393;JRS CAP PROPRIO;13/03/2019 ;1
19;20/07/2018;0,0824;DIVIDENDO;15/08/2018 ;1
20;29/06/2018;0,0392;JRS CAP PROPRIO;15/08/2018 ;1
21;23/03/2018;0,0525;JRS CAP PROPRIO;15/08/2018 ;1
22;02/03/2018;0,0821;DIVIDENDO;14/03/2018 ;1
23;15/12/2017;0,0571;JRS CAP PROPRIO;- ;1
24;29/09/2017;0,0581;JRS CAP PROPRIO;- ;1
25;21/07/2017;0,0530;DIVIDENDO;- ;1
26;30/06/2017;0,0606;JRS CAP PROPRIO;- ;1
27;24/03/2017;0,0653;JRS CAP PROPRIO;- ;1
28;24/02/2017;0,0637;DIVIDENDO;- ;1
29;16/12/2016;0,0787;JRS CAP PROPRIO;- ;1
30;23/09/2016;0,0581;JRS CAP PROPRIO;- ;1
31;29/07/2016;0,0363;DIVIDENDO;- ;1
32;28/06/2016;0,0667;JRS CAP PROPRIO;- ;1
33;22/03/2016;0,0553;JUROS;- ;1
34;23/02/2016;0,0809;DIVIDENDO;- ;1
35;15/12/2015;0,0588;JUROS;- ;1
36;22/09/2015;0,0541;JUROS;- ;1
37;28/07/2015;0,0830;DIVIDENDO;- ;1
38;23/06/2015;0,0488;JUROS;- ;1
39;24/03/2015;0,0835;Juros;- ;1
40;24/02/2015;0,2076;Dividendo;- ;1
41;16/12/2014;0,0765;JRS CAP PROPRIO;- ;1
42;23/09/2014;0,0718;JRS CAP PROPRIO;- ;1
43;22/07/2014;0,1554;DIVIDENDO;- ;1
44;24/06/2014;0,0706;JRS CAP PROPRIO;- ;1
45;25/03/2014;0,0835;JRS CAP PROPRIO;- ;1
46;25/02/2014;0,2630;DIVIDENDO;- ;1
47;17/12/2013;0,0847;JRS CAP PRÓPRIO;- ;1
48;24/09/2013;0,0765;JRS CAP PRÓPRIO;- ;1
49;30/07/2013;0,1850;DIVIDENDO;- ;1
50;25/06/2013;0,0706;JRS CAP PRÓPRIO;- ;1
51;26/03/2013;0,0647;JRS CAP PRÓPRIO;- ;1
52;26/02/2013;0,2060;DIVIDENDO;- ;1
53;18/12/2012;0,0694;JRS CAP PRÓPRIO;- ;1
54;25/09/2012;0,0765;JRS CAP PRÓPRIO;- ;1
55;24/07/2012;0,1000;DIVIDENDO;- ;1
56;26/06/2012;0,0765;JRS CAP PRÓPRIO;- ;1
57;20/03/2012;0,0765;JRS CAP PRÓPRIO;- ;1
58;14/02/2012;0,1400;DIVIDENDO;- ;1
59;20/12/2011;0,0824;JRS CAP PRÓPRIO;- ;1
60;20/09/2011;0,0824;JRS CAP PRÓPRIO;- ;1
61;21/07/2011;0,0970;DIVIDENDO;- ;1
62;21/06/2011;0,0765;JRS CAP PRÓPRIO;- ;1
63;22/03/2011;0,0682;JRS CAP PRÓPRIO;- ;1
64;22/02/2011;0,1630;DIVIDENDO;- ;1
65;21/12/2010;0,0588;JRS CAP PRÓPRIO;- ;1
66;21/09/2010;0,0553;JRS CAP PRÓPRIO;- ;1
67;27/07/2010;0,1070;DIVIDENDO;- ;1
68;29/06/2010;0,0588;JRS CAP PRÓPRIO;- ;1
69;23/03/2010;0,0506;JRS CAP PRÓPRIO;- ;1
70;23/02/2010;0,2050;DIVIDENDO;- ;1
71;14/12/2009;0,0176;JRS CAP PRÓPRIO;- ;1
72;17/09/2009;0,0471;JRS CAP PRÓPRIO;- ;1
73;23/07/2009;0,1150;DIVIDENDO;- ;1
74;16/06/2009;0,0471;JRS CAP PRÓPRIO;- ;1
75;23/03/2009;0,0529;JRS CAP PRÓPRIO;- ;1
76;16/02/2009;0,1410;DIVIDENDO;- ;1
77;16/12/2008;0,0471;JRS CAP PRÓPRIO;- ;1
78;18/09/2008;0,0459;JRS CAP PRÓPRIO;- ;1
79;21/07/2008;0,1630;DIVIDENDO;- ;1
80;17/06/2008;0,0459;JRS CAP PRÓPRIO;- ;1
81;18/03/2008;0,0447;JRS CAP PRÓPRIO;- ;1
82;19/02/2008;0,1290;DIVIDENDO;- ;1
83;13/12/2007;0,1176;JRS CAP PRÓPRIO;- ;1
84;14/09/2007;0,0129;JRS CAP PRÓPRIO;- ;1
85;19/07/2007;0,1960;DIVIDENDO;- ;1
86;18/06/2007;0,0141;JRS CAP PRÓPRIO;- ;1
87;15/03/2007;0,0141;JRS CAP PRÓPRIO;- ;1
88;13/02/2007;0,1650;DIVIDENDO;- ;1
89;14/12/2006;0,0118;JRS CAP PRÓPRIO;- ;1
90;14/09/2006;0,0294;JRS CAP PRÓPRIO;- ;1
91;28/07/2006;0,1360;DIVIDENDO;- ;1
92;20/06/2006;0,0141;JRS CAP PRÓPRIO;- ;1
93;16/03/2006;0,0141;JRS CAP PRÓPRIO;- ;1
94;16/02/2006;0,1190;DIVIDENDO;- ;1
95;15/12/2005;0,0118;JRS CAP PRÓPRIO;- ;1
96;15/09/2005;0,0129;JRS CAP PRÓPRIO;- ;1
97;21/07/2005;0,0960;DIVIDENDO;- ;1
98;21/06/2005;0,0165;JRS CAP PRÓPRIO;- ;1
99;17/03/2005;0,0118;JRS CAP PRÓPRIO;- ;1
100;17/02/2005;0,1290;DIVIDENDO;- ;1
101;17/12/2004;0,0129;JRS CAP PRÓPRIO;- ;1
102;23/07/2004;0,1400;DIVIDENDO;- ;1
103;12/02/2004;0,1140;DIVIDENDO;- ;1
104;11/12/2003;0,0082;JRS CAP PRÓPRIO;- ;1
105;17/07/2003;0,0725;DIVIDENDO;- ;1
106;17/07/2003;0,0088;JRS CAP PRÓPRIO;- ;1
107;13/02/2003;0,0950;DIVIDENDO;- ;1
108;18/07/2002;0,0500;DIVIDENDO;- ;1
109;14/12/2001;0,0376;JRS CAP PRÓPRIO;- ;1
110;14/12/2001;0,0280;DIVIDENDO;- ;1
111;13/06/2001;0,0318;JRS CAP PRÓPRIO;- ;1
112;13/06/2001;0,0130;DIVIDENDO;- ;1
113;15/02/2001;0,0100;DIVIDENDO;- ;1
114;15/12/2000;0,0318;JRS CAP PRÓPRIO;- ;1
115;13/07/2000;0,0329;JRS CAP PRÓPRIO;- ;1
116;17/12/1999;0,0218;JRS CAP PRÓPRIO;- ;1
117;21/07/1999;0,0229;JRS CAP PRÓPRIO;- ;1
118;18/12/1998;0,0324;JRS CAP PRÓPRIO;- ;1
119;18/12/1998;0,0025;DIVIDENDO;- ;1
120;20/07/1998;0,0176;JRS CAP PRÓPRIO;- ;1
121;23/12/1997;0,0130;JRS CAP PRÓPRIO;- ;1
122;23/12/1997;0,0120;JRS CAP PRÓPRIO;- ;1
123;30/07/1997;10,0000;DIVIDENDO;- ;1000
124;12/02/1997;13,3100;DIVIDENDO;- ;1000
125;05/08/1996;4,6700;DIVIDENDO;- ;1000
126;26/02/1996;2,7700;DIVIDENDO;- ;1000
127;26/02/1996;1,4100;DIVIDENDO;- ;1000
