;Data;Valor;Tipo;Data de Pagamento;Por quantas ações
0;23/11/2021;0,1235;DIVIDENDO;10/12/2021 ;1
1;30/04/2021;0,0870;DIVIDENDO;28/05/2021 ;1
2;04/01/2021;0,1201;JRS CAP PROPRIO;20/01/2021 ;1
3;17/11/2020;0,1583;DIVIDENDO;11/12/2020 ;1
4;30/04/2020;0,0471;DIVIDENDO;30/06/2020 ;1
5;27/08/2019;0,2548;DIVIDENDO;10/09/2019 ;1
6;14/05/2019;1,9422;DIVIDENDO;24/05/2019 ;1
7;30/04/2019;0,2850;DIVIDENDO;24/05/2019 ;1
8;13/09/2018;0,1513;DIVIDENDO;25/09/2018 ;1
9;27/04/2018;0,2734;DIVIDENDO;07/05/2018 ;1
10;17/03/2017;0,2742;DIVIDENDO;- ;1
11;18/03/2016;0,1852;DIVIDENDO;- ;1
12;31/07/2015;0,0317;JUROS;- ;1
13;01/04/2015;0,0154;Dividendo;- ;1
14;22/12/2014;0,0593;JRS CAP PROPRIO;- ;1
15;14/11/2014;0,0561;JRS CAP PROPRIO;- ;1
16;14/08/2014;0,1450;DIVIDENDO;- ;1
17;28/04/2014;0,0324;DIVIDENDO;- ;1
