;papel;pl;lpa;pvp;vpa;Cluster
0;AALR3;52.47;0.32;1.67;10.19;0
1;ABCB4;6.52;2.53;0.8;20.65;0
2;ABEV3;14.76;1.01;2.7;5.51;0
3;ADHM3;-4.09;-0.38;-1.29;-1.21;8
4;AERI3;67.19;0.09;4.41;1.33;6
5;AESB3;12.23;0.91;2.45;4.52;0
6;AFLT3;27.58;0.31;3.04;2.83;0
7;AGRO3;4.44;6.74;1.25;23.95;0
8;AGXY3;22.32;0.53;1.49;7.99;0
9;AHEB3;-3.88;-7.08;-4.89;-5.63;8
10;ALLD3;3.85;3.65;0.86;16.34;0
11;ALPA3;20.17;1.17;4.1;5.77;6
12;ALPA4;23.1;1.17;4.69;5.77;6
13;ALPK3;-5.06;-0.91;1.9;2.41;0
14;ALSO3;35.32;0.62;0.87;25.19;0
15;ALUP11;5.24;4.8;1.11;22.54;0
16;ALUP3;5.27;1.6;1.12;7.51;0
17;ALUP4;5.09;1.6;1.08;7.51;0
18;AMAR3;-8.35;-0.37;0.87;3.56;0
19;AMBP3;30.87;1.2;3.55;10.42;6
20;ANIM3;89.85;0.09;1.23;6.38;0
21;APER3;-3193.96;-0.01;1.74;19.28;7
22;ARML3;0.0;0.0;6.4;3.21;6
23;ARZZ3;28.91;2.89;5.93;14.09;6
24;ASAI3;9.39;1.31;6.92;1.78;6
25;ATMP3;-0.68;-3.83;0.36;7.2;8
26;ATOM3;8.38;0.37;3.59;0.85;6
27;AURA33;11.74;4.39;2.43;21.22;0
28;AVLL3;-1.31;-22.83;4.97;6.04;6
29;AZEV3;2.18;1.72;4.57;0.82;6
30;AZEV4;1.72;1.72;3.6;0.82;6
31;AZUL4;-2.25;-11.96;-0.52;-51.86;8
32;B3SA3;18.06;0.77;3.78;3.69;6
33;BAHI3;-6.39;-2.46;1.8;8.72;0
34;BALM3;18.71;0.77;1.18;12.21;0
35;BALM4;14.81;0.77;0.93;12.21;0
36;BAUH4;22.41;3.74;4.44;18.87;6
37;BAZA3;2.16;19.09;0.43;96.39;0
38;BBAS3;5.5;6.07;0.7;47.72;0
39;BBDC3;7.76;2.26;1.16;15.14;0
40;BBDC4;9.36;2.26;1.4;15.14;0
41;BBRK3;-0.67;-1.6;2.03;0.53;0
42;BBSE3;11.57;1.97;6.25;3.64;6
43;BDLL3;-0.47;-23.93;-0.1;-116.78;8
44;BDLL4;-0.41;-23.93;-0.08;-116.78;8
45;BEEF3;10.79;0.93;12.57;0.8;6
46;BEES3;6.65;0.75;0.86;5.82;0
47;BEES4;7.55;0.75;0.97;5.82;0
48;BGIP3;5.32;6.04;0.88;36.44;0
49;BGIP4;3.85;6.04;0.64;36.44;0
50;BIDI11;393.69;0.06;2.47;9.93;0
51;BIDI3;396.9;0.02;2.49;3.31;0
52;BIDI4;388.7;0.02;2.43;3.31;0
53;BIOM3;-13.96;-1.01;7.3;1.93;6
54;BKBR3;-4.07;-1.43;1.04;5.62;0
55;BLAU3;16.0;1.97;3.43;9.2;6
56;BMEB3;6.85;1.81;1.17;10.62;0
57;BMEB4;5.62;1.81;0.96;10.62;0
58;BMGB4;6.48;0.46;0.45;6.73;0
59;BMIN3;25.39;0.79;0.76;26.16;0
60;BMIN4;22.98;0.79;0.69;26.16;0
61;BMKS3;25.95;9.05;0.56;418.61;0
62;BMOB3;19.88;0.74;1.31;11.24;0
63;BNBR3;4.71;14.86;0.85;82.52;0
64;BOAS3;19.47;0.27;1.38;3.77;0
65;BOBR4;3.13;0.49;-3.45;-0.44;8
66;BPAC11;12.3;1.88;2.45;9.45;0
67;BPAC3;22.24;0.63;4.43;3.15;6
68;BPAC5;7.28;0.63;1.45;3.15;0
69;BPAN4;15.48;0.64;2.07;4.81;0
70;BRAP3;2.01;13.85;0.75;37.01;0
