;Acao;Data;Hora;Descrição;Link
29;CASH3;16/08/2021;10:35;Apresentação do Resultado 2T21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=893759&descTipo=IPE&CodigoInstituicao=1
30;CASH3;30/07/2021;11:35;Fato Relevante - Aquisição Alter Pagamentos Ltda.;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=887711&descTipo=IPE&CodigoInstituicao=1
31;CASH3;30/07/2021;09:01;Data de divulgação do resultado do 2T21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=887648&descTipo=IPE&CodigoInstituicao=1
32;CASH3;29/07/2021;22:45;Fato Relevante - Aquisição Alter Pagamentos Ltda.;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=887600&descTipo=IPE&CodigoInstituicao=1
33;CASH3;23/07/2021;20:05;Méliuz sobre proposta de desdobramento de ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=885947&descTipo=IPE&CodigoInstituicao=1
34;CASH3;15/07/2021;23:48;Precificação em oferta pública com esforços restritos de colocação (follow-on);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=884255&descTipo=IPE&CodigoInstituicao=1
35;CASH3;07/07/2021;08:49;Oferta Pública de Ações com Esforços Restritos (Follow-On);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=881791&descTipo=IPE&CodigoInstituicao=1
36;CASH3;21/06/2021;08:44;Méliuz sobre oferta pública de ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=877529&descTipo=IPE&CodigoInstituicao=1
37;CASH3;18/06/2021;20:14;Méliuz sobre oferta pública de ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=877501&descTipo=IPE&CodigoInstituicao=1
38;CASH3;13/05/2021;23:07;Contrato de Compra e Venda - Melhor Plano;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=867399&descTipo=IPE&CodigoInstituicao=1
39;CASH3;12/05/2021;19:48;Contrato de Compra e Venda - Promobit;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=866692&descTipo=IPE&CodigoInstituicao=1
40;CASH3;04/05/2021;18:12;Posse novos membros do Conselho;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=862457&descTipo=IPE&CodigoInstituicao=1
41;CASH3;03/05/2021;22:35;Fato Relevante - Programa de Recompra;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=862084&descTipo=IPE&CodigoInstituicao=1
42;CASH3;03/05/2021;06:38;Fato Relevante - Acordo de Associação Grupo Acesso;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=861716&descTipo=IPE&CodigoInstituicao=1
43;CASH3;26/04/2021;20:05;Comunicado Live com Executivos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=857483&descTipo=IPE&CodigoInstituicao=1
44;CASH3;19/04/2021;08:03;Comunicado Live com Executivos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=854930&descTipo=IPE&CodigoInstituicao=1
