;Acao;Data;Hora;Descrição;Link
28;BRSR3;21/01/2021;18:43;Emissão de Notas Subordinadas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=824293&descTipo=IPE&CodigoInstituicao=1
29;BRSR3;24/12/2020;16:30;Distribuição de JSCP;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=819162&descTipo=IPE&CodigoInstituicao=1
30;BRSR3;22/12/2020;18:51;Distribuição de JSCP;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=818717&descTipo=IPE&CodigoInstituicao=1
31;BRSR3;07/12/2020;20:03;Retomada dos pagamentos de juros sobre capital próprio e pagamento de juros sobre capital próprio referente ao 4º trimestre de 2020;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=813728&descTipo=IPE&CodigoInstituicao=1
32;BRSR3;25/11/2020;09:35;Realização de evento Apimec;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=810966&descTipo=IPE&CodigoInstituicao=1
33;BRSR3;20/11/2020;18:04;Realização de Live;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=810216&descTipo=IPE&CodigoInstituicao=1
34;BRSR3;13/11/2020;18:16;Reunião Apimec;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=808629&descTipo=IPE&CodigoInstituicao=1
35;BRSR3;10/11/2020;19:35;Release de resultados 3T20;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=807349&descTipo=IPE&CodigoInstituicao=1
36;BRSR3;10/11/2020;18:43;Plano de Desligamento Voluntário;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=807248&descTipo=IPE&CodigoInstituicao=1
37;BRSR3;19/10/2020;18:16;Plano de Desligamento Voluntário;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=801169&descTipo=IPE&CodigoInstituicao=1
38;BRSR3;14/09/2020;17:52;Plano de Desligamento Voluntário;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=793151&descTipo=IPE&CodigoInstituicao=1
39;BRSR3;17/08/2020;17:37;Plano de Desligamento Voluntário;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=785604&descTipo=IPE&CodigoInstituicao=1
40;BRSR3;12/08/2020;07:59;Balanços Semestrais;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=783940&descTipo=IPE&CodigoInstituicao=1
41;BRSR3;24/06/2020;18:26;AGO/E;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=771206&descTipo=IPE&CodigoInstituicao=1
42;BRSR3;04/06/2020;19:23;Suspensão Temporária do Pagamento de JSCP;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=766678&descTipo=IPE&CodigoInstituicao=1
43;BRSR3;04/06/2020;18:56;Suspensão Temporária do Pagamento de JSCP;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=766668&descTipo=IPE&CodigoInstituicao=1
