;papel;tipo;empresa;setor;cotacao;dt_ult_cotacao;min_52_sem;max_52_sem;vol_med;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativo;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec;ativo;disponibilidades;ativo_circulante;divd_bruta;divd_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
114;CGAS3;ON;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS ON;Gás;130,00;03/02/2022;130,00;167,69;75.644;17.227.700.000;22.121.300.000;30/09/2021;132521000;-0.76;8.49;15.30;8.11;16.03;7.07;31.3;1.63;23.1;1.27;19.2;5.93;18.0;-2.98;25.3;9.4;95.5;7.74;2.07;9.08;17.7;13.522.500.000;2.303.880.000;5.614.890.000;7.197.400.000;4.893.530.000;2.124.610.000;2.028.200.000;655.904.000
115;CGAS5;PNAS;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS PNAS;Gás;127,05;03/02/2022;126,00;174,51;997.666;16.836.800.000;21.730.300.000;30/09/2021;132521000;-1.40;8.30;15.30;7.92;16.03;6.91;31.3;1.60;23.1;1.25;19.2;5.79;18.0;-2.91;25.3;10.6;95.5;7.61;2.07;8.92;17.7;13.522.500.000;2.303.880.000;5.614.890.000;7.197.400.000;4.893.530.000;2.124.610.000;2.028.200.000;655.904.000
116;CGRA3;ON;GRAZZIOTIN ON;Comércio;38,99;03/02/2022;28,71;50,08;54.905;753.143.000;671.904.000;30/09/2021;19316300;-1.27;4.07;9.58;0.98;39.77;6.86;52.9;1.29;18.8;0.73;31.7;2.12;10.7;2.87;13.0;3.5;24.1;5.38;3.17;6.12;7.3;1.024.830.000;81.239.000;518.877.000;0;-81.239.000;768.149.000;184.991.000;76.230.000
117;CGRA4;PN;GRAZZIOTIN PN;Comércio;37,78;03/02/2022;26,06;49,11;344.993;729.770.000;648.531.000;30/09/2021;19316300;-3.13;3.94;9.58;0.95;39.77;6.65;52.9;1.25;18.8;0.71;31.7;2.05;10.7;2.78;13.0;3.6;24.1;5.20;3.17;5.91;7.3;1.024.830.000;81.239.000;518.877.000;0;-81.239.000;768.149.000;184.991.000;76.230.000
118;CIEL3;ON NM;CIELO ON NM;Serviços Financeiros Diversos;2,19;03/02/2022;1,94;4,17;59.832.900;5.949.830.000;2.367.520.000;31/12/2021;2716820000;-6.01;6.13;0.36;0.60;3.64;7.22;38.3;1.19;16.5;0.06;19.4;1.10;0.8;-3.61;7.8;7.8;9.8;1.78;1.07;2.87;-22.9;98.646.700.000;7.616.760.000;87.109.800.000;4.034.450.000;-3.582.310.000;9.890.590.000;970.471.000;336.855.000
119;CLSA3;ON NM;CLEARSALE ON NM;Serviços Financeiros Diversos;11,50;03/02/2022;7,73;29,69;18.427.000;2.161.150.000;1.504.420.000;30/09/2021;187926000;0.97;0.00;0.00;2.75;4.18;0;0;0;0;2.15;0;2.76;0.0;3.12;0;0.0;0;0;6.94;0;0;1.006.020.000;772.876.000;913.394.000;116.142.000;-656.734.000;785.018.000;0;-45.238.000
120;CLSC3;ON N2;CELESC ON N2;Energia Elétrica;61,80;01/02/2022;52,79;91,17;22.347;2.383.750.000;3.465.030.000;30/09/2021;38572000;0.00;2.63;23.53;0.97;63.76;2.15;12.6;0.17;8.0;0.20;6.6;16.45;9.1;-0.40;11.2;7.0;36.9;2.58;1.04;3.13;15.5;12.142.500.000;743.079.000;3.758.880.000;1.824.360.000;1.081.280.000;2.459.540.000;907.695.000;374.747.000
121;CLSC4;PN N2;CELESC PN N2;Energia Elétrica;65,60;03/02/2022;44,08;75,18;637.649;2.530.320.000;3.611.600.000;30/09/2021;38572000;-0.15;2.79;23.53;1.03;63.76;2.28;12.6;0.18;8.0;0.21;6.6;17.46;9.1;-0.43;11.2;7.2;36.9;2.69;1.04;3.26;15.5;12.142.500.000;743.079.000;3.758.880.000;1.824.360.000;1.081.280.000;2.459.540.000;907.695.000;374.747.000
122;CMIG3;ON N1;CEMIG ON N1;Energia Elétrica;18,16;03/02/2022;11,51;18,63;5.726.410;30.751.500.000;38.936.400.000;30/09/2021;1693360000;-0.44;7.46;2.43;1.52;11.97;6.01;19.1;1.00;16.6;0.58;13.4;11.13;9.6;-1.57;11.0;6.5;20.3;6.35;1.26;7.61;9.9;53.116.700.000;3.166.260.000;13.256.900.000;11.351.300.000;8.184.990.000;20.262.200.000;4.121.680.000;421.051.000
123;CMIG4;PN N1;CEMIG PN N1;Energia Elétrica;13,12;03/02/2022;9,40;14,58;95.385.400;22.216.900.000;30.401.900.000;30/09/2021;1693360000;0.69;5.39;2.43;1.10;11.97;4.34;19.1;0.72;16.6;0.42;13.4;8.04;9.6;-1.13;11.0;9.0;20.3;4.96;1.26;5.94;9.9;53.116.700.000;3.166.260.000;13.256.900.000;11.351.300.000;8.184.990.000;20.262.200.000;4.121.680.000;421.051.000
